Feature,Gini,Permutation,SHAP
SoftSkillsRating,0.06897189869022229,0.016329999999999966,0.5695557362412466
Projects,0.08012194265964692,0.009429999999999971,0.5408362014659871
SGPA_Sem8,0.32726034295993445,0.005839999999999979,0.539891433165448
Internships,0.03706836446719879,0.018279999999999973,0.4617866252804389
SGPA_Sem7,0.2203588851054167,0.002409999999999979,0.3749513015772291
MockInterviewScore,0.06680593656039296,0.003069999999999973,0.3247747994861369
HistoryOfBacklogs_No,0.026737318842457537,0.008409999999999973,0.2655288832185917
SGPA_Sem6,0.09090678236390669,0.0015399999999999858,0.2611399790618476
AptitudeTestScore,0.005385367781697842,0.0019199999999999662,0.2016287914363766
CodingTestScore,0.017244414936165558,0.0016899999999999914,0.1957769775838266
SGPA_Sem5,0.026992201013642685,0.0015399999999999748,0.1849817604644035
SGPA_Sem1,0.001350302530527603,2.9999999999985594e-05,0.130192041957761
HistoryOfBacklogs_Yes,0.0066673404529761235,0.0016299999999999648,0.1232984612982524
SGPA_Sem4,0.003312265141202674,0.0013299999999999979,0.1150854477004439
CGPA,0.010479931646569796,0.0016699999999999714,0.0945607352321809
SGPA_Sem3,0.0011813721746757335,-0.0004600000000000382,0.0685428863345608
SGPA_Sem2,0.0013399527694786314,0.00045999999999997155,0.0554464167810009
CollegeTier,0.0006892774301339276,0.00043999999999996266,0.0539151745005455
Stream_CS,0.0004896396617873558,0.0009599999999999831,0.0486273777949128
Certifications,0.0024931345414033954,4.999999999997229e-05,0.0342799599238643
CGPA_Tier,0.0031963055305047144,0.0001399999999999846,0.0253551540433257
AttendancePercent,0.00044667470337622064,-1.0000000000021104e-05,0.0200664953200443
Publications,0.00021409071836167218,1.999999999996449e-05,0.0106506009005709
ExtraCurricular,1.4134539338682558e-05,-6.99999999999923e-05,0.0049325921607417
Workshops,0.0001781660202096382,4.999999999999449e-05,0.0035970667731603
City_Kolkata,3.8418716861568143e-05,-4.999999999999449e-05,0.0023231410229847
City_Pune,2.1052272560216595e-05,1.9999999999997796e-05,0.0016811805095231
City_Chennai,2.134176794358878e-05,1.9999999999997796e-05,0.0006032220796513
Gender_Male,1.3144001406056415e-05,0.0,0.0002640217521092
City_Delhi,0.0,0.0,0.0
City_Ahmedabad,0.0,0.0,0.0
City_Bangalore,0.0,0.0,0.0
City_Mumbai,0.0,0.0,0.0
City_Hyderabad,0.0,0.0,0.0
City_Jaipur,0.0,0.0,0.0
City_Kochi,0.0,0.0,0.0
Hostel_No,0.0,0.0,0.0
Gender_Female,0.0,0.0,0.0
Hostel_Yes,0.0,0.0,0.0
Specialisation_AI,0.0,0.0,0.0
Specialisation_Embedded,0.0,0.0,0.0
Specialisation_DataScience,0.0,0.0,0.0
Stream_Civil,0.0,0.0,0.0
Specialisation_Networking,0.0,0.0,0.0
Stream_ECE,0.0,0.0,0.0
Stream_EE,0.0,0.0,0.0
Stream_IT,0.0,0.0,0.0
Stream_Mechanical,0.0,0.0,0.0
